 service_point_name |    service_point_display_name     | action_date | day_of_week | hour_of_day |    material_type    | action_type | ct  
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-13  | Saturday    |           0 | sound recording     | Checkout    | 106
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-13  | Saturday    |           0 | text                | Checkout    | 108
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-13  | Saturday    |           0 | unspecified         | Checkout    | 124
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-13  | Saturday    |           0 | video recording     | Checkout    | 111
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-14  | Sunday      |           0 | book                | Checkout    | 126
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-14  | Sunday      |           0 | dvd                 | Checkout    | 117
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-14  | Sunday      |           0 | electronic resource | Checkout    | 121
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-14  | Sunday      |           0 | microform           | Checkout    | 140
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-14  | Sunday      |           0 | sound recording     | Checkout    | 111
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-14  | Sunday      |           0 | text                | Checkout    | 129
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-14  | Sunday      |           0 | unspecified         | Checkout    | 112
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-14  | Sunday      |           0 | video recording     | Checkout    | 111
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | book                | Checkin     | 194
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | book                | Checkout    | 116
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | dvd                 | Checkin     | 204
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | dvd                 | Checkout    | 118
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | electronic resource | Checkin     | 190
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | electronic resource | Checkout    | 108
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | microform           | Checkin     | 188
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | microform           | Checkout    | 125
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | sound recording     | Checkin     | 193
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | sound recording     | Checkout    | 119
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | text                | Checkin     | 200
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | text                | Checkout    | 109
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | unspecified         | Checkin     | 193
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | unspecified         | Checkout    | 118
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | video recording     | Checkin     | 227
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-15  | Monday      |           0 | video recording     | Checkout    | 104
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | book                | Checkin     | 152
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | book                | Checkout    |  98
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | dvd                 | Checkin     | 178
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | dvd                 | Checkout    | 133
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | electronic resource | Checkin     | 187
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | electronic resource | Checkout    | 120
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | microform           | Checkin     | 162
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | microform           | Checkout    | 120
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | sound recording     | Checkin     | 156
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | sound recording     | Checkout    | 123
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | text                | Checkin     | 132
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | text                | Checkout    | 130
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | unspecified         | Checkin     | 155
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | unspecified         | Checkout    | 127
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | video recording     | Checkin     | 151
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-16  | Tuesday     |           0 | video recording     | Checkout    |  97
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | book                | Checkin     | 140
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | book                | Checkout    | 105
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | dvd                 | Checkin     | 149
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | dvd                 | Checkout    | 108
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | electronic resource | Checkin     | 121
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | electronic resource | Checkout    | 122
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | microform           | Checkin     | 149
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | microform           | Checkout    | 103
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | sound recording     | Checkin     | 154
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | sound recording     | Checkout    | 103
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | text                | Checkin     | 136
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | text                | Checkout    | 116
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | unspecified         | Checkin     | 156
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | unspecified         | Checkout    | 128
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | video recording     | Checkin     | 129
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-17  | Wednesday   |           0 | video recording     | Checkout    | 103
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | book                | Checkin     | 134
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | book                | Checkout    | 121
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | dvd                 | Checkin     | 134
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | dvd                 | Checkout    | 100
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | electronic resource | Checkin     | 148
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | electronic resource | Checkout    | 110
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | microform           | Checkin     | 158
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | microform           | Checkout    | 129
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | sound recording     | Checkin     | 107
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | sound recording     | Checkout    | 114
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | text                | Checkin     | 122
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | text                | Checkout    | 120
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | unspecified         | Checkin     | 116
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | unspecified         | Checkout    | 101
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | video recording     | Checkin     | 101
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-18  | Thursday    |           0 | video recording     | Checkout    |  99
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | book                | Checkin     | 125
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | book                | Checkout    | 131
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | dvd                 | Checkin     | 133
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | dvd                 | Checkout    | 116
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | electronic resource | Checkin     | 136
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | electronic resource | Checkout    | 134
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | microform           | Checkin     | 126
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | microform           | Checkout    | 112
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | sound recording     | Checkin     | 111
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | sound recording     | Checkout    |  97
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | text                | Checkin     | 130
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | text                | Checkout    | 126
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | unspecified         | Checkin     | 115
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | unspecified         | Checkout    |  99
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | video recording     | Checkin     | 105
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-19  | Friday      |           0 | video recording     | Checkout    | 113
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | book                | Checkin     | 131
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | book                | Checkout    | 100
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | dvd                 | Checkin     | 112
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | dvd                 | Checkout    |  95
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | electronic resource | Checkin     | 124
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | electronic resource | Checkout    | 127
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | microform           | Checkin     | 117
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | microform           | Checkout    | 147
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | sound recording     | Checkin     | 126
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | sound recording     | Checkout    | 121
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | text                | Checkin     | 133
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | text                | Checkout    | 129
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | unspecified         | Checkin     | 124
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | unspecified         | Checkout    | 103
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | video recording     | Checkin     | 128
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-20  | Saturday    |           0 | video recording     | Checkout    |  96
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | book                | Checkin     |  94
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | book                | Checkout    |  97
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | dvd                 | Checkin     | 121
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | dvd                 | Checkout    | 121
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | electronic resource | Checkin     | 125
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | electronic resource | Checkout    | 113
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | microform           | Checkin     | 124
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | microform           | Checkout    | 122
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | sound recording     | Checkin     | 110
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | sound recording     | Checkout    | 113
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | text                | Checkin     | 102
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | text                | Checkout    | 135
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | unspecified         | Checkin     | 114
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | unspecified         | Checkout    |  91
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | video recording     | Checkin     | 109
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-21  | Sunday      |           0 | video recording     | Checkout    | 122
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-22  | Monday      |           0 | book                | Checkin     |  96
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-22  | Monday      |           0 | book                | Checkout    |  99
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-22  | Monday      |           0 | dvd                 | Checkin     | 108
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-22  | Monday      |           0 | dvd                 | Checkout    | 103
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-22  | Monday      |           0 | electronic resource | Checkin     | 120
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-22  | Monday      |           0 | electronic resource | Checkout    | 129
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-22  | Monday      |           0 | microform           | Checkin     | 110
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-22  | Monday      |           0 | microform           | Checkout    | 117
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-22  | Monday      |           0 | sound recording     | Checkin     | 113
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-22  | Monday      |           0 | sound recording     | Checkout    | 109
 Circ Desk 1        | Circulation Desk -- Hallway       | 2018-01-22  | Monday      |           0 | text                | Checkin     | 119
